"item","verb","frame","voice","polarity","conditional2","Mean","low.ci","high.ci","SD","C"
"accept-that_S-active-negative-conditional","accept","that_S","active","negative","conditional",0.65,0.2,0.2,0.337474278855276,10
"accept-that_S-active-negative-matrix","accept","that_S","active","negative","matrix",0.65,0.25,0.25,0.411636301174282,10
"accept-that_S-active-positive-conditional","accept","that_S","active","positive","conditional",1,0,0,0,10
"accept-that_S-active-positive-matrix","accept","that_S","active","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"acknowledge-that_S-active-negative-conditional","acknowledge","that_S","active","negative","conditional",0.4,0.15,0.1,0.210818510677892,10
"acknowledge-that_S-active-negative-matrix","acknowledge","that_S","active","negative","matrix",0.75,0.15,0.15,0.263523138347365,10
"acknowledge-that_S-active-positive-conditional","acknowledge","that_S","active","positive","conditional",1,0,0,0,10
"acknowledge-that_S-active-positive-matrix","acknowledge","that_S","active","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"add-that_S-active-negative-conditional","add","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"add-that_S-active-negative-matrix","add","that_S","active","negative","matrix",0.6,0.2,0.15,0.316227766016838,10
"add-that_S-active-positive-conditional","add","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"add-that_S-active-positive-matrix","add","that_S","active","positive","matrix",0.85,0.15,0.15,0.241522945769824,10
"address-that_S-active-negative-conditional","address","that_S","active","negative","conditional",0.75,0.15,0.15,0.263523138347365,10
"address-that_S-active-negative-matrix","address","that_S","active","negative","matrix",0.65,0.2,0.2,0.337474278855276,10
"address-that_S-active-positive-conditional","address","that_S","active","positive","conditional",0.8,0.15,0.15,0.258198889747161,10
"address-that_S-active-positive-matrix","address","that_S","active","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"admit-that_S-active-negative-conditional","admit","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"admit-that_S-active-negative-matrix","admit","that_S","active","negative","matrix",0.6,0.1,0.15,0.210818510677892,10
"admit-that_S-active-positive-conditional","admit","that_S","active","positive","conditional",1,0,0,0,10
