"","participant","list","presentationorder","verb","frame","voice","polarity","conditional","veridicality","acceptability","nativeenglish","exclude","veridicality_num","conditional2","item"
"1",219,0,1,"surmise","that_S","active","positive","False","maybe",6,"True","False",0,"matrix","surmise-that_S-active-positive-matrix"
"2",219,0,2,"update","that_S","active","positive","False","yes",2,"True","False",1,"matrix","update-that_S-active-positive-matrix"
"3",219,0,3,"disregard","that_S","active","negative","False","maybe",4,"True","False",0,"matrix","disregard-that_S-active-negative-matrix"
"4",219,0,4,"agree","that_S","active","positive","False","yes",4,"True","False",1,"matrix","agree-that_S-active-positive-matrix"
"5",219,0,5,"surmise","that_S","active","negative","False","maybe",3,"True","False",0,"matrix","surmise-that_S-active-negative-matrix"
"6",219,0,6,"evaluate","that_S","active","positive","False","maybe",5,"True","False",0,"matrix","evaluate-that_S-active-positive-matrix"
"7",219,0,7,"remind","that_S","passive","negative","False","no",5,"True","False",-1,"matrix","remind-that_S-passive-negative-matrix"
"8",219,0,8,"vow","that_S","active","positive","False","yes",5,"True","False",1,"matrix","vow-that_S-active-positive-matrix"
"9",219,0,9,"sing","that_S","active","negative","False","maybe",2,"True","False",0,"matrix","sing-that_S-active-negative-matrix"
"10",219,0,10,"sob","that_S","active","positive","False","yes",2,"True","False",1,"matrix","sob-that_S-active-positive-matrix"
"11",219,0,11,"prove","that_S","active","negative","False","maybe",6,"True","False",0,"matrix","prove-that_S-active-negative-matrix"
"12",219,0,12,"rediscover","that_S","active","positive","False","yes",4,"True","False",1,"matrix","rediscover-that_S-active-positive-matrix"
"13",219,0,13,"ascertain","that_S","active","positive","False","maybe",3,"True","False",0,"matrix","ascertain-that_S-active-positive-matrix"
"14",219,0,14,"communicate","that_S","active","positive","False","yes",6,"True","False",1,"matrix","communicate-that_S-active-positive-matrix"
"15",219,0,15,"depress","that_S","passive","positive","False","yes",6,"True","False",1,"matrix","depress-that_S-passive-positive-matrix"
"16",219,0,16,"radio","that_S","passive","negative","False","maybe",3,"True","False",0,"matrix","radio-that_S-passive-negative-matrix"
"17",219,0,17,"volunteer","that_S","active","positive","False","yes",5,"True","False",1,"matrix","volunteer-that_S-active-positive-matrix"
"18",219,0,18,"deny","that_S","active","positive","False","maybe",6,"True","False",0,"matrix","deny-that_S-active-positive-matrix"
"19",219,0,19,"delight","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","delight-that_S-passive-positive-matrix"
"20",219,0,20,"ensure","that_S","active","negative","False","maybe",5,"True","False",0,"matrix","ensure-that_S-active-negative-matrix"
"21",219,0,21,"jar","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","jar-that_S-passive-negative-matrix"
"22",219,0,22,"find_out","that_S","active","negative","False","no",5,"True","False",-1,"matrix","find_out-that_S-active-negative-matrix"
"23",219,0,23,"dislike","that_S","active","negative","False","yes",4,"True","False",1,"matrix","dislike-that_S-active-negative-matrix"
"24",219,0,24,"disapprove","that_S","active","positive","False","yes",6,"True","False",1,"matrix","disapprove-that_S-active-positive-matrix"
"25",219,0,25,"forgive","that_S","passive","positive","False","yes",3,"True","False",1,"matrix","forgive-that_S-passive-positive-matrix"
"26",219,0,26,"flip_out","that_S","active","positive","False","yes",7,"True","False",1,"matrix","flip_out-that_S-active-positive-matrix"
"27",219,0,27,"flatter","that_S","passive","positive","False","yes",7,"True","False",1,"matrix","flatter-that_S-passive-positive-matrix"
"28",219,0,28,"fake","that_S","active","positive","False","no",6,"True","False",-1,"matrix","fake-that_S-active-positive-matrix"
"29",219,0,29,"hearten","that_S","passive","negative","False","yes",3,"True","False",1,"matrix","hearten-that_S-passive-negative-matrix"
"30",219,0,30,"imagine","that_S","active","negative","False","maybe",5,"True","False",0,"matrix","imagine-that_S-active-negative-matrix"
"31",219,0,31,"stimulate","that_S","passive","negative","False","yes",5,"True","False",1,"matrix","stimulate-that_S-passive-negative-matrix"
"32",219,0,32,"demand","that_S","active","positive","False","maybe",3,"True","False",0,"matrix","demand-that_S-active-positive-matrix"
"33",219,0,33,"growl","that_S","active","negative","False","maybe",2,"True","False",0,"matrix","growl-that_S-active-negative-matrix"
"34",219,0,34,"ruminate","that_S","active","negative","False","maybe",3,"True","False",0,"matrix","ruminate-that_S-active-negative-matrix"
