"","workerid","rt","prompt","itemType","itemNr","list","item","response","fact","slide_number_in_experiment","gender","american","age","language","comments","Answer.time_in_minutes"
"1",0,8398,"How likely is it that Frank got a cat?","H","12",1,"12H",0.83,"Frank has always wanted a pet.",2,"Male",0,29,"english","",2.0863
"2",0,3505,"How likely is it that Isabella ate a steak on Sunday?","L","7",1,"7L",0.14,"Isabella is a vegetarian.",3,"Male",0,29,"english","",2.0863
"3",0,3526,"How likely is it that Zoe calculated the tip?","H","10",1,"10H",0.93,"Zoe is a math major.",4,"Male",0,29,"english","",2.0863
"4",0,2893,"How likely is it that Tammy speaks Italian and Greek?","F","F",1,"F2",0.2,"Tammy is a rabbit.",5,"Male",0,29,"english","",2.0863
"5",0,2414,"How likely is it that Emma studied on Saturday morning?","L","3",1,"3L",0.64,"Emma is in first grade.",6,"Male",0,29,"english","",2.0863
"6",0,2540,"How likely is it that Jackson ran 10 miles?","L","13",1,"13L",0.25,"Jackson is obese.",7,"Male",0,29,"english","",2.0863
"7",0,2408,"How likely is it that Tony had a drink last night?","L","15",1,"15L",0.12,"Tony has been sober for 20 years.",8,"Male",0,29,"english","",2.0863
"8",0,2512,"How likely is it that Charley speaks Spanish?","H","20",1,"20H",0.64,"Charley lives in Mexico.",9,"Male",0,29,"english","",2.0863
"9",0,2745,"How likely is it that Barry lives in Europe?","F","F",1,"F1",0.31,"Barry lives in Germany.",10,"Male",0,29,"english","",2.0863
"10",0,2991,"How likely is it that Mary is pregnant?","L","1",1,"1L",0.25,"Mary is a middle school student.",11,"Male",0,29,"english","",2.0863
"11",0,2256,"How likely is it that Jayden rented a car?","H","14",1,"14H",0.7,"Jayden&quotechars car is in the shop.",12,"Male",0,29,"english","",2.0863
"12",0,10631,"How likely is it that Grace visited her sister?","L","9",1,"9L",0.21,"Grace hates her sister.",13,"Male",0,29,"english","",2.0863
"13",0,3800,"How likely is it that Mia drank 2 cocktails last night?","H","6",1,"6H",0.84,"Mia is a college student.",14,"Male",0,29,"english","",2.0863
