"","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","american","gender","comments","Answer.time_in_minutes"
"1",0,6824,"M","F","Emily bought a car yesterday","hear","8","C",0.15,2,27,"English",0,"Male","",2.04596666666667
"2",0,5886,"M","F","Isabella ate a steak on Sunday","pretend","7","NonProj",0.04,3,27,"English",0,"Male","",2.04596666666667
"3",0,3544,NA,"M","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0,4,27,"English",0,"Male","",2.04596666666667
"4",0,3095,NA,"F","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",1,5,27,"English",0,"Male","",2.04596666666667
"5",0,2784,NA,"F","Frederick is both smarter and taller than I am","control_good","control_good3","control",0,6,27,"English",0,"Male","",2.04596666666667
"6",0,3907,"M","F","Zoe calculated the tip","acknowledge","10","C",0.26,7,27,"English",0,"Male","",2.04596666666667
"7",0,5980,"F","F","Owen shoveled snow last winter","discover","17","NonProj",1,8,27,"English",0,"Male","",2.04596666666667
"8",0,3768,NA,"F","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0,9,27,"English",0,"Male","",2.04596666666667
"9",0,4511,"F","F","Julian dances salsa","admit","18","C",0.68,10,27,"English",0,"Male","",2.04596666666667
"10",0,3679,"F","F","Tony had a drink last night","know","15","NonProj",0.99,11,27,"English",0,"Male","",2.04596666666667
"11",0,2847,"M","M","Mary is pregnant","be_right_that","1","C",1,12,27,"English",0,"Male","",2.04596666666667
"12",0,3432,"F","M","Jayden rented a car","confess","14","C",0.72,13,27,"English",0,"Male","",2.04596666666667
"13",0,2872,"F","F","Danny ate the last cupcake","reveal","11","NonProj",0.8,14,27,"English",0,"Male","",2.04596666666667
"14",0,3478,"F","F","Josh learned to ride a bike yesterday","think","16","NonProj",0.03,15,27,"English",0,"Male","",2.04596666666667
"15",0,2369,"M","F","Sophia got a tattoo","say","5","C",1,16,27,"English",0,"Male","",2.04596666666667
"16",0,4114,"F","M","Jon walks to work","annoyed","19","NonProj",0.84,17,27,"English",0,"Male","",2.04596666666667
"17",0,2495,NA,"F","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0,18,27,"English",0,"Male","",2.04596666666667
"18",0,3440,"M","M","Grace visited her sister","inform_Sam","9","C",0.92,19,27,"English",0,"Male","",2.04596666666667
"19",0,3504,"F","M","Charley speaks Spanish","prove","20","C",0.91,20,27,"English",0,"Male","",2.04596666666667
"20",0,2480,NA,"F","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",1,21,27,"English",0,"Male","",2.04596666666667
"21",0,3543,NA,"F","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",1,22,27,"English",0,"Male","",2.04596666666667
"22",0,3672,"M","M","Mia drank 2 cocktails last night","establish","6","NonProj",0.9,23,27,"English",0,"Male","",2.04596666666667
"23",0,2735,NA,"F","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",1,24,27,"English",0,"Male","",2.04596666666667
"24",0,3223,"M","F","Josie went on vacation to France","suggest","2","C",0.16,25,27,"English",0,"Male","",2.04596666666667
"25",0,3191,"F","M","Jackson ran 10 miles","see","13","NonProj",1,26,27,"English",0,"Male","",2.04596666666667
"26",0,10712,"M","M","Emma studied on Saturday morning","confirm","3","C",0.86,27,27,"English",0,"Male","",2.04596666666667
"27",0,2328,"F","F","Frank got a cat","demonstrate","12","C",1,28,27,"English",0,"Male","",2.04596666666667
"28",0,3584,"M","M","Olivia sleeps until noon","announce","4","C",0,29,27,"English",0,"Male","",2.04596666666667
"29",1,5549,NA,"F","Frederick is both smarter and taller than I am","control_good","control_good3","control",0.19,2,40,"English",0,"Male","This is harder than I would have thought",2.61615
"30",1,6765,"F","M","Danny ate the last cupcake","announce","11","C",0.84,3,40,"English",0,"Male","This is harder than I would have thought",2.61615
"31",1,3001,NA,"F","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0.85,4,40,"English",0,"Male","This is harder than I would have thought",2.61615
"32",1,10442,"M","F","Olivia sleeps until noon","pretend","4","NonProj",0.29,5,40,"English",0,"Male","This is harder than I would have thought",2.61615
"33",1,3680,"M","F","Isabella ate a steak on Sunday","say","7","C",0.7,6,40,"English",0,"Male","This is harder than I would have thought",2.61615
