"","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","asses","american","gender","comments","Answer.time_in_minutes"
"1",0,3837,NA,"M","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",1,5,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"2",0,4126,"M","F","Grace visited her sister","reveal","9","NonProj",0.67,6,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"3",0,2967,NA,"F","Frederick is both smarter and taller than I am","control_good","control_good3","control",0.04,7,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"4",0,4344,NA,"F","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",0.96,8,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"5",0,3480,"M","F","Josie went on vacation to France","confirm","2","C",0.76,9,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"6",0,3680,"M","M","Zoe calculated the tip","be_right_that","10","C",0.97,10,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"7",0,2711,NA,"F","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0.09,11,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"8",0,5800,"M","M","Emma studied on Saturday morning","see","3","NonProj",0.84,12,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"9",0,7550,"F","F","Danny ate the last cupcake","annoyed","11","NonProj",0.61,13,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"10",0,2905,"M","F","Sophia got a tattoo","hear","5","C",0.06,14,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"11",0,8016,"M","M","Olivia sleeps until noon","confess","4","C",0.82,15,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"12",0,3264,"M","M","Emily bought a car yesterday","pretend","8","NonProj",0.09,16,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"13",0,5376,"F","M","Owen shoveled snow last winter","say","17","C",0.2,17,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"14",0,3864,"F","M","Julian dances salsa","discover","18","NonProj",0.74,18,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"15",0,4272,"F","F","Charley speaks Spanish","prove","20","C",1,19,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"16",0,5384,"F","F","Tony had a drink last night","inform_Sam","15","C",0.39,20,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"17",0,4592,"F","F","Josh learned to ride a bike yesterday","suggest","16","C",0.32,21,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"18",0,3511,"F","F","Jon walks to work","acknowledge","19","C",0.74,22,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"19",0,3080,"F","M","Jayden rented a car","know","14","NonProj",0.98,23,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"20",0,3167,"F","F","Jackson ran 10 miles","establish","13","NonProj",0.85,24,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"21",0,3560,NA,"F","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",0.98,25,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"22",0,4023,"F","M","Frank got a cat","think","12","NonProj",0.2,26,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"23",0,2783,"M","F","Mary is pregnant","demonstrate","1","C",0.83,27,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"24",0,5535,NA,"F","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",1,28,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"25",0,8072,NA,"M","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0.06,29,34,"En","Yes",0,"Male","$0.90",3.82321666666667
