verb,Mean,YMin,YMax
acknowledge,0.667769516728625,0.628359665427509,0.707451672862453
admit,0.70996282527881,0.669256505576208,0.749702602230483
announce,0.450743494423792,0.401668215613383,0.499076208178439
be_annoyed,0.635947955390335,0.599439591078067,0.679482342007435
be_right,0.934907063197026,0.916614312267658,0.95000092936803
confess,0.66817843866171,0.623752788104089,0.709582713754647
confirm,0.763791821561338,0.727472118959108,0.799907063197026
contradictory C,0.954628252788104,0.947051812267658,0.962426115241636
demonstrate,0.718698884758364,0.678908921933086,0.759220260223048
discover,0.781040892193309,0.747023234200743,0.812979553903346
establish,0.719368029739777,0.681395910780669,0.755505576208178
hear,0.239330855018587,0.202936802973978,0.276881040892193
inform,0.470111524163569,0.423989776951673,0.514806691449814
know,0.834089219330855,0.803040892193309,0.864544609665428
non-contrad. C,0.0619702602230483,0.0525264869888476,0.0709958178438662
pretend,0.218884758364312,0.183668215613383,0.255735130111524
prove,0.853940520446097,0.823233271375465,0.881490706319703
reveal,0.629479553903346,0.59003717472119,0.66903624535316
say,0.367434944237918,0.32489126394052,0.414798327137546
see,0.814869888475836,0.783657992565056,0.844649628252788
suggest,0.257657992565056,0.216983271375465,0.295501858736059
think,0.172899628252788,0.142411710037175,0.206136617100372
