workerid,rt,content,subjectGender,speakerGender,question,speakerName,fact_type,subjectName,verb,utterance,contentNr,trigger_class,response,fact,slide_number_in_experiment,language,gender,age,comments,assess,american,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,14814,Josie went on vacation to France,M,F,2,Jessica,factL,Alexander,discover,Did Scott discover that Josie went on vacation to France?,2,NonProj,0,Josie doesn&quotechart have a passport,2,English,f,32,,Yes,m,Windows,768,1366,Chrome,3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,31OVKNPS1SC43ZHLUU7T5K2CJGYWSJ,Language study,A 6-minute language experiment,language experiment study communication fun cognitive science,$0.85,Mon Nov 27 09:23:02 EST 2017,20,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 30 09:23:02 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,39U1BHVTDLSROUHN5K02EXQTSM63T2,0,Approved,Tue Nov 28 02:09:22 EST 2017,Mon Nov 27 09:23:12 EST 2017,Mon Nov 27 09:29:22 EST 2017,Mon Nov 27 10:47:42 EST 2017,,,,,[],{},4.25455
0,8145,Danny ate the last cupcake,F,F,11,Helen,factH,Nicole,think,Does Amanda think that Danny ate the last cupcake?,11,NonProj,0.36,Danny loves cake,3,English,f,32,,Yes,m,Windows,768,1366,Chrome,3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,31OVKNPS1SC43ZHLUU7T5K2CJGYWSJ,Language study,A 6-minute language experiment,language experiment study communication fun cognitive science,$0.85,Mon Nov 27 09:23:02 EST 2017,20,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 30 09:23:02 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,39U1BHVTDLSROUHN5K02EXQTSM63T2,0,Approved,Tue Nov 28 02:09:22 EST 2017,Mon Nov 27 09:23:12 EST 2017,Mon Nov 27 09:29:22 EST 2017,Mon Nov 27 10:47:42 EST 2017,,,,,[],{},4.25455
0,12102,Charley speaks Spanish,F,F,20,Betty,factH,Anna,inform_Sam,Did Anna inform Sam that Charley speaks Spanish?,20,C,0.43,Charley lives in Mexico,4,English,f,32,,Yes,m,Windows,768,1366,Chrome,3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,31OVKNPS1SC43ZHLUU7T5K2CJGYWSJ,Language study,A 6-minute language experiment,language experiment study communication fun cognitive science,$0.85,Mon Nov 27 09:23:02 EST 2017,20,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 30 09:23:02 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,39U1BHVTDLSROUHN5K02EXQTSM63T2,0,Approved,Tue Nov 28 02:09:22 EST 2017,Mon Nov 27 09:23:12 EST 2017,Mon Nov 27 09:29:22 EST 2017,Mon Nov 27 10:47:42 EST 2017,,,,,[],{},4.25455
0,12519,Mia drank 2 cocktails last night,M,M,6,Steven,factL,Nicholas,admit,Did Ray admit that Mia drank 2 cocktails last night?,6,C,0.67,Mia is a nun,5,English,f,32,,Yes,m,Windows,768,1366,Chrome,3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,31OVKNPS1SC43ZHLUU7T5K2CJGYWSJ,Language study,A 6-minute language experiment,language experiment study communication fun cognitive science,$0.85,Mon Nov 27 09:23:02 EST 2017,20,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 30 09:23:02 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,39U1BHVTDLSROUHN5K02EXQTSM63T2,0,Approved,Tue Nov 28 02:09:22 EST 2017,Mon Nov 27 09:23:12 EST 2017,Mon Nov 27 09:29:22 EST 2017,Mon Nov 27 10:47:42 EST 2017,,,,,[],{},4.25455
0,5602,Emma studied on Saturday morning,M,F,3,Karen,factH,Gregory,pretend,Did Justin pretend that Emma studied on Saturday morning?,3,NonProj,0.5,Emma is in law school,6,English,f,32,,Yes,m,Windows,768,1366,Chrome,3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,31OVKNPS1SC43ZHLUU7T5K2CJGYWSJ,Language study,A 6-minute language experiment,language experiment study communication fun cognitive science,$0.85,Mon Nov 27 09:23:02 EST 2017,20,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 30 09:23:02 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,39U1BHVTDLSROUHN5K02EXQTSM63T2,0,Approved,Tue Nov 28 02:09:22 EST 2017,Mon Nov 27 09:23:12 EST 2017,Mon Nov 27 09:29:22 EST 2017,Mon Nov 27 10:47:42 EST 2017,,,,,[],{},4.25455
0,7883,Jon walks to work,F,F,19,Michelle,factL,Heather,know,Does Ruth know that Jon walks to work?,19,NonProj,0.29,Jon lives 10 miles away from work,7,English,f,32,,Yes,m,Windows,768,1366,Chrome,3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,31OVKNPS1SC43ZHLUU7T5K2CJGYWSJ,Language study,A 6-minute language experiment,language experiment study communication fun cognitive science,$0.85,Mon Nov 27 09:23:02 EST 2017,20,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 30 09:23:02 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,39U1BHVTDLSROUHN5K02EXQTSM63T2,0,Approved,Tue Nov 28 02:09:22 EST 2017,Mon Nov 27 09:23:12 EST 2017,Mon Nov 27 09:29:22 EST 2017,Mon Nov 27 10:47:42 EST 2017,,,,,[],{},4.25455
0,8385,Julian dances salsa,F,F,18,Elizabeth,factL,Ruth,reveal,Did Kathleen reveal that Julian dances salsa?,18,NonProj,0.29,Julian is German,8,English,f,32,,Yes,m,Windows,768,1366,Chrome,3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,31OVKNPS1SC43ZHLUU7T5K2CJGYWSJ,Language study,A 6-minute language experiment,language experiment study communication fun cognitive science,$0.85,Mon Nov 27 09:23:02 EST 2017,20,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 30 09:23:02 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,39U1BHVTDLSROUHN5K02EXQTSM63T2,0,Approved,Tue Nov 28 02:09:22 EST 2017,Mon Nov 27 09:23:12 EST 2017,Mon Nov 27 09:29:22 EST 2017,Mon Nov 27 10:47:42 EST 2017,,,,,[],{},4.25455
0,6351,Vanessa is good at math,NA,M,control4,Robert,NA,NA,control,Is Vanessa good at math?,control4,control,0.03,Vanessa won a prize at school,9,English,f,32,,Yes,m,Windows,768,1366,Chrome,3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,31OVKNPS1SC43ZHLUU7T5K2CJGYWSJ,Language study,A 6-minute language experiment,language experiment study communication fun cognitive science,$0.85,Mon Nov 27 09:23:02 EST 2017,20,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 30 09:23:02 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,39U1BHVTDLSROUHN5K02EXQTSM63T2,0,Approved,Tue Nov 28 02:09:22 EST 2017,Mon Nov 27 09:23:12 EST 2017,Mon Nov 27 09:29:22 EST 2017,Mon Nov 27 10:47:42 EST 2017,,,,,[],{},4.25455
0,5361,Zack is coming to the meeting tomorrow,NA,M,control1,Steven,NA,NA,control,Is Zack coming to the meeting tomorrow?,control1,control,0,Zack is a member of the golf club,10,English,f,32,,Yes,m,Windows,768,1366,Chrome,3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,31OVKNPS1SC43ZHLUU7T5K2CJGYWSJ,Language study,A 6-minute language experiment,language experiment study communication fun cognitive science,$0.85,Mon Nov 27 09:23:02 EST 2017,20,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 30 09:23:02 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,39U1BHVTDLSROUHN5K02EXQTSM63T2,0,Approved,Tue Nov 28 02:09:22 EST 2017,Mon Nov 27 09:23:12 EST 2017,Mon Nov 27 09:29:22 EST 2017,Mon Nov 27 10:47:42 EST 2017,,,,,[],{},4.25455
0,6016,Tony had a drink last night,F,F,15,Dorothy,factH,Laura,see,Did Rebecca see that Tony had a drink last night?,15,NonProj,0.68,Tony really likes to party with his friends,11,English,f,32,,Yes,m,Windows,768,1366,Chrome,3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,31OVKNPS1SC43ZHLUU7T5K2CJGYWSJ,Language study,A 6-minute language experiment,language experiment study communication fun cognitive science,$0.85,Mon Nov 27 09:23:02 EST 2017,20,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 30 09:23:02 EST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2K0ZNOLII3NN5KCYDUKTJY,39U1BHVTDLSROUHN5K02EXQTSM63T2,0,Approved,Tue Nov 28 02:09:22 EST 2017,Mon Nov 27 09:23:12 EST 2017,Mon Nov 27 09:29:22 EST 2017,Mon Nov 27 10:47:42 EST 2017,,,,,[],{},4.25455
