"","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","asses","american","gender","comments","Answer.time_in_minutes"
"57",2,5319,NA,"F","Vanessa looked into the mirror","control_good","control_good4","control",1,5,27,"English","Yes",0,"Male","",3.39668333333333
"58",2,4300,"F","F","Owen shoveled snow last winter","announce","17","C",1,6,27,"English","Yes",0,"Male","",3.39668333333333
"59",2,4566,"F","M","Charley speaks Spanish","reveal","20","NonProj",1,7,27,"English","Yes",0,"Male","",3.39668333333333
"60",2,3974,"M","M","Josie went on vacation to France","admit","2","C",1,8,27,"English","Yes",0,"Male","",3.39668333333333
"61",2,4861,NA,"F","Sebastian did really well on the exam","control_bad","control_bad4","control",0,9,27,"English","Yes",0,"Male","",3.39668333333333
"62",2,6444,"M","M","Zoe calculated the tip","inform_Sam","10","C",1,10,27,"English","Yes",0,"Male","",3.39668333333333
"63",2,5673,"M","M","Emily bought a car yesterday","demonstrate","8","C",1,11,27,"English","Yes",0,"Male","",3.39668333333333
"64",2,4209,NA,"M","Dana wears a wig","control_bad","control_bad1","control",0,12,27,"English","Yes",0,"Male","",3.39668333333333
"65",2,4338,"M","F","Olivia sleeps until noon","establish","4","NonProj",1,13,27,"English","Yes",0,"Male","",3.39668333333333
"66",2,10673,"M","F","Emma studied on Saturday morning","confirm","3","C",1,14,27,"English","Yes",0,"Male","",3.39668333333333
"67",2,4550,NA,"M","Frederick solved the problem","control_good","control_good3","control",1,15,27,"English","Yes",0,"Male","",3.39668333333333
"68",2,8553,"M","F","Mary is pregnant","hear","1","C",0.48,16,27,"English","Yes",0,"Male","",3.39668333333333
"69",2,4962,NA,"F","Zack owns a car","control_good","control_good1","control",1,17,27,"English","Yes",0,"Male","",3.39668333333333
"70",2,4111,"F","M","Danny ate the last cupcake","pretend","11","NonProj",0,18,27,"English","Yes",0,"Male","",3.39668333333333
"71",2,4599,"M","F","Mia drank 2 cocktails last night","say","6","C",1,19,27,"English","Yes",0,"Male","",3.39668333333333
"72",2,6361,"F","M","Tony had a drink last night","annoyed","15","NonProj",1,20,27,"English","Yes",0,"Male","",3.39668333333333
"73",2,6197,"F","M","Josh learned to ride a bike yesterday","be_right_that","16","C",1,21,27,"English","Yes",0,"Male","",3.39668333333333
"74",2,2792,"F","M","Frank got a cat","discover","12","NonProj",1,22,27,"English","Yes",0,"Male","",3.39668333333333
"75",2,4526,"M","F","Grace visited her sister","know","9","NonProj",1,23,27,"English","Yes",0,"Male","",3.39668333333333
"76",2,4141,"M","F","Sophia got a tattoo","think","5","NonProj",0,24,27,"English","Yes",0,"Male","",3.39668333333333
"77",2,3117,NA,"M","the window broke","control_good","control_good2","control",1,25,27,"English","Yes",0,"Male","",3.39668333333333
"78",2,4279,"F","M","Jackson ran 10 miles","confess","13","C",1,26,27,"English","Yes",0,"Male","",3.39668333333333
"79",2,4872,"F","F","Julian dances salsa","acknowledge","18","C",1,27,27,"English","Yes",0,"Male","",3.39668333333333
"80",2,3823,NA,"M","Madison closed the window","control_bad","control_bad3","control",0,28,27,"English","Yes",0,"Male","",3.39668333333333
"81",2,4493,"F","M","Jon walks to work","prove","19","C",1,29,27,"English","Yes",0,"Male","",3.39668333333333
"82",2,3361,NA,"M","the apartment has a balcony","control_bad","control_bad2","control",0,30,27,"English","Yes",0,"Male","",3.39668333333333
"83",2,16074,"F","F","Jayden rented a car","suggest","14","C",0,31,27,"English","Yes",0,"Male","",3.39668333333333
"84",2,5425,"M","M","Isabella ate a steak on Sunday","see","7","NonProj",1,32,27,"English","Yes",0,"Male","",3.39668333333333
"85",3,3499,NA,"F","Dana wears a wig","control_bad","control_bad1","control",0,5,29,"English","Yes",0,"Male","",3.31953333333333
"86",3,3523,"M","F","Isabella ate a steak on Sunday","announce","7","C",1,6,29,"English","Yes",0,"Male","",3.31953333333333
"87",3,3852,"M","F","Olivia sleeps until noon","hear","4","C",1,7,29,"English","Yes",0,"Male","",3.31953333333333
"88",3,3883,NA,"M","Frederick solved the problem","control_good","control_good3","control",1,8,29,"English","Yes",0,"Male","",3.31953333333333
"89",3,4094,"F","F","Julian dances salsa","see","18","NonProj",1,9,29,"English","Yes",0,"Male","",3.31953333333333
"90",3,4118,"M","M","Mary is pregnant","demonstrate","1","C",1,10,29,"English","Yes",0,"Male","",3.31953333333333
"91",3,4321,"F","M","Frank got a cat","admit","12","C",1,11,29,"English","Yes",0,"Male","",3.31953333333333
"92",3,3618,"F","F","Charley speaks Spanish","be_right_that","20","C",1,12,29,"English","Yes",0,"Male","",3.31953333333333
"93",3,9912,"M","M","Grace visited her sister","inform_Sam","9","C",1,13,29,"English","Yes",0,"Male","",3.31953333333333
"94",3,4589,"F","F","Owen shoveled snow last winter","confess","17","C",1,14,29,"English","Yes",0,"Male","",3.31953333333333
