"","X","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","asses","american","gender","comments","Answer.time_in_minutes","predicateClause"
"2",58,2,4300,"F","F","Owen shoveled snow last winter","announce","17","C",1,6,27,"English","Yes",0,"Male","",3.39668333333333,"announce.Owen shoveled snow last winter"
"3",59,2,4566,"F","M","Charley speaks Spanish","reveal","20","NonProj",1,7,27,"English","Yes",0,"Male","",3.39668333333333,"reveal.Charley speaks Spanish"
"4",60,2,3974,"M","M","Josie went on vacation to France","admit","2","C",1,8,27,"English","Yes",0,"Male","",3.39668333333333,"admit.Josie went on vacation to France"
"6",62,2,6444,"M","M","Zoe calculated the tip","inform","10","C",1,10,27,"English","Yes",0,"Male","",3.39668333333333,"inform.Zoe calculated the tip"
"7",63,2,5673,"M","M","Emily bought a car yesterday","demonstrate","8","C",1,11,27,"English","Yes",0,"Male","",3.39668333333333,"demonstrate.Emily bought a car yesterday"
"9",65,2,4338,"M","F","Olivia sleeps until noon","establish","4","NonProj",1,13,27,"English","Yes",0,"Male","",3.39668333333333,"establish.Olivia sleeps until noon"
"10",66,2,10673,"M","F","Emma studied on Saturday morning","confirm","3","C",1,14,27,"English","Yes",0,"Male","",3.39668333333333,"confirm.Emma studied on Saturday morning"
"12",68,2,8553,"M","F","Mary is pregnant","hear","1","C",0.48,16,27,"English","Yes",0,"Male","",3.39668333333333,"hear.Mary is pregnant"
"14",70,2,4111,"F","M","Danny ate the last cupcake","pretend","11","NonProj",0,18,27,"English","Yes",0,"Male","",3.39668333333333,"pretend.Danny ate the last cupcake"
"15",71,2,4599,"M","F","Mia drank 2 cocktails last night","say","6","C",1,19,27,"English","Yes",0,"Male","",3.39668333333333,"say.Mia drank 2 cocktails last night"
"16",72,2,6361,"F","M","Tony had a drink last night","be_annoyed","15","NonProj",1,20,27,"English","Yes",0,"Male","",3.39668333333333,"be_annoyed.Tony had a drink last night"
"17",73,2,6197,"F","M","Josh learned to ride a bike yesterday","be_right","16","C",1,21,27,"English","Yes",0,"Male","",3.39668333333333,"be_right.Josh learned to ride a bike yesterday"
"18",74,2,2792,"F","M","Frank got a cat","discover","12","NonProj",1,22,27,"English","Yes",0,"Male","",3.39668333333333,"discover.Frank got a cat"
"19",75,2,4526,"M","F","Grace visited her sister","know","9","NonProj",1,23,27,"English","Yes",0,"Male","",3.39668333333333,"know.Grace visited her sister"
"20",76,2,4141,"M","F","Sophia got a tattoo","think","5","NonProj",0,24,27,"English","Yes",0,"Male","",3.39668333333333,"think.Sophia got a tattoo"
"22",78,2,4279,"F","M","Jackson ran 10 miles","confess","13","C",1,26,27,"English","Yes",0,"Male","",3.39668333333333,"confess.Jackson ran 10 miles"
"23",79,2,4872,"F","F","Julian dances salsa","acknowledge","18","C",1,27,27,"English","Yes",0,"Male","",3.39668333333333,"acknowledge.Julian dances salsa"
"25",81,2,4493,"F","M","Jon walks to work","prove","19","C",1,29,27,"English","Yes",0,"Male","",3.39668333333333,"prove.Jon walks to work"
"27",83,2,16074,"F","F","Jayden rented a car","suggest","14","C",0,31,27,"English","Yes",0,"Male","",3.39668333333333,"suggest.Jayden rented a car"
"28",84,2,5425,"M","M","Isabella ate a steak on Sunday","see","7","NonProj",1,32,27,"English","Yes",0,"Male","",3.39668333333333,"see.Isabella ate a steak on Sunday"
"30",86,3,3523,"M","F","Isabella ate a steak on Sunday","announce","7","C",1,6,29,"English","Yes",0,"Male","",3.31953333333333,"announce.Isabella ate a steak on Sunday"
"31",87,3,3852,"M","F","Olivia sleeps until noon","hear","4","C",1,7,29,"English","Yes",0,"Male","",3.31953333333333,"hear.Olivia sleeps until noon"
"33",89,3,4094,"F","F","Julian dances salsa","see","18","NonProj",1,9,29,"English","Yes",0,"Male","",3.31953333333333,"see.Julian dances salsa"
"34",90,3,4118,"M","M","Mary is pregnant","demonstrate","1","C",1,10,29,"English","Yes",0,"Male","",3.31953333333333,"demonstrate.Mary is pregnant"
"35",91,3,4321,"F","M","Frank got a cat","admit","12","C",1,11,29,"English","Yes",0,"Male","",3.31953333333333,"admit.Frank got a cat"
"36",92,3,3618,"F","F","Charley speaks Spanish","be_right","20","C",1,12,29,"English","Yes",0,"Male","",3.31953333333333,"be_right.Charley speaks Spanish"
"37",93,3,9912,"M","M","Grace visited her sister","inform","9","C",1,13,29,"English","Yes",0,"Male","",3.31953333333333,"inform.Grace visited her sister"
"38",94,3,4589,"F","F","Owen shoveled snow last winter","confess","17","C",1,14,29,"English","Yes",0,"Male","",3.31953333333333,"confess.Owen shoveled snow last winter"
"40",96,3,4794,"F","M","Jon walks to work","say","19","C",1,16,29,"English","Yes",0,"Male","",3.31953333333333,"say.Jon walks to work"
"41",97,3,5322,"M","M","Josie went on vacation to France","confirm","2","C",1,17,29,"English","Yes",0,"Male","",3.31953333333333,"confirm.Josie went on vacation to France"
"42",98,3,5701,"M","M","Emily bought a car yesterday","think","8","NonProj",0.16,18,29,"English","Yes",0,"Male","",3.31953333333333,"think.Emily bought a car yesterday"
"43",99,3,5149,"F","F","Jayden rented a car","pretend","14","NonProj",0.15,19,29,"English","Yes",0,"Male","",3.31953333333333,"pretend.Jayden rented a car"
"46",102,3,6073,"F","F","Danny ate the last cupcake","suggest","11","C",0.2,22,29,"English","Yes",0,"Male","",3.31953333333333,"suggest.Danny ate the last cupcake"
"48",104,3,3523,"F","F","Tony had a drink last night","know","15","NonProj",1,24,29,"English","Yes",0,"Male","",3.31953333333333,"know.Tony had a drink last night"
"50",106,3,5056,"M","M","Mia drank 2 cocktails last night","be_annoyed","6","NonProj",1,26,29,"English","Yes",0,"Male","",3.31953333333333,"be_annoyed.Mia drank 2 cocktails last night"
"52",108,3,4407,"M","M","Zoe calculated the tip","prove","10","C",1,28,29,"English","Yes",0,"Male","",3.31953333333333,"prove.Zoe calculated the tip"
"53",109,3,3804,"M","F","Sophia got a tattoo","acknowledge","5","C",1,29,29,"English","Yes",0,"Male","",3.31953333333333,"acknowledge.Sophia got a tattoo"
"54",110,3,3695,"M","F","Emma studied on Saturday morning","discover","3","NonProj",1,30,29,"English","Yes",0,"Male","",3.31953333333333,"discover.Emma studied on Saturday morning"
"55",111,3,10308,"F","F","Jackson ran 10 miles","reveal","13","NonProj",1,31,29,"English","Yes",0,"Male","",3.31953333333333,"reveal.Jackson ran 10 miles"
"56",112,3,9699,"F","M","Josh learned to ride a bike yesterday","establish","16","NonProj",1,32,29,"English","Yes",0,"Male","",3.31953333333333,"establish.Josh learned to ride a bike yesterday"
"57",141,5,-4497,"F","M","Charley speaks Spanish","confess","20","C",0.74,5,24,"English","Yes",0,"Female","",3.5388,"confess.Charley speaks Spanish"
"59",143,5,3545,"F","F","Jackson ran 10 miles","announce","13","C",0.8,7,24,"English","Yes",0,"Female","",3.5388,"announce.Jackson ran 10 miles"
"60",144,5,3701,"F","F","Owen shoveled snow last winter","admit","17","C",0.74,8,24,"English","Yes",0,"Female","",3.5388,"admit.Owen shoveled snow last winter"
"62",146,5,4913,"M","F","Emma studied on Saturday morning","hear","3","C",0.52,10,24,"English","Yes",0,"Female","",3.5388,"hear.Emma studied on Saturday morning"
"63",147,5,2931,"M","F","Mia drank 2 cocktails last night","be_right","6","C",1,11,24,"English","Yes",0,"Female","",3.5388,"be_right.Mia drank 2 cocktails last night"
"64",148,5,3629,"F","F","Danny ate the last cupcake","demonstrate","11","C",0.65,12,24,"English","Yes",0,"Female","",3.5388,"demonstrate.Danny ate the last cupcake"
"66",150,5,3642,"M","F","Sophia got a tattoo","discover","5","NonProj",1,14,24,"English","Yes",0,"Female","",3.5388,"discover.Sophia got a tattoo"
"67",151,5,2187,"F","F","Frank got a cat","see","12","NonProj",1,15,24,"English","Yes",0,"Female","",3.5388,"see.Frank got a cat"
"68",152,5,2978,"M","M","Emily bought a car yesterday","prove","8","C",1,16,24,"English","Yes",0,"Female","",3.5388,"prove.Emily bought a car yesterday"
"69",153,5,3586,"M","M","Isabella ate a steak on Sunday","pretend","7","NonProj",0,17,24,"English","Yes",0,"Female","",3.5388,"pretend.Isabella ate a steak on Sunday"
"70",154,5,4654,"M","F","Grace visited her sister","inform","9","C",0.84,18,24,"English","Yes",0,"Female","",3.5388,"inform.Grace visited her sister"
"71",155,5,3133,"M","F","Josie went on vacation to France","acknowledge","2","C",0.92,19,24,"English","Yes",0,"Female","",3.5388,"acknowledge.Josie went on vacation to France"
"72",156,5,2841,"M","M","Zoe calculated the tip","think","10","NonProj",0.56,20,24,"English","Yes",0,"Female","",3.5388,"think.Zoe calculated the tip"
"73",157,5,2696,"F","M","Josh learned to ride a bike yesterday","reveal","16","NonProj",0.87,21,24,"English","Yes",0,"Female","",3.5388,"reveal.Josh learned to ride a bike yesterday"
"75",159,5,15553,"M","F","Olivia sleeps until noon","know","4","NonProj",1,23,24,"English","Yes",0,"Female","",3.5388,"know.Olivia sleeps until noon"
"76",160,5,86740,"F","M","Jon walks to work","confirm","19","C",0.95,24,24,"English","Yes",0,"Female","",3.5388,"confirm.Jon walks to work"
"78",162,5,2684,"F","M","Tony had a drink last night","be_annoyed","15","NonProj",1,26,24,"English","Yes",0,"Female","",3.5388,"be_annoyed.Tony had a drink last night"
"79",163,5,3424,"F","M","Jayden rented a car","establish","14","NonProj",0.85,27,24,"English","Yes",0,"Female","",3.5388,"establish.Jayden rented a car"
