"workerid","rt","subjectGender","speakerGender","speakerName","content","subjectName","verb","contentNr","trigger_class","response","slide_number_in_experiment"
0,10335,"F","M","George","Danny ate the last cupcake","Rachel","know","11","NonProj","No",5
0,1582,"F","M","Mark","Tony had a drink last night","Kathleen","confess","15","C","Yes",6
0,1071,NA,"F","Nancy","Sebastian lives in the USA and has never been to the USA",NA,"control_bad","control_bad4","control","Yes",7
0,1057,"M","F","Carol","Mia drank 2 cocktails last night","Ronald","discover","6","NonProj","No",8
0,983,NA,"F","Sarah","Frederick is both smarter and taller than I am",NA,"control_good","control_good3","control","Yes",9
0,1232,"M","F","Sarah","Josie went on vacation to France","Tyler","reveal","2","NonProj","No",10
0,967,"M","F","Nancy","Grace visited her sister","Nicholas","say","9","C","Yes",11
0,1064,NA,"F","Carol","Vanessa is really good at math, but I&quotecharm not",NA,"control_good","control_good4","control","No",12
0,1015,NA,"F","Linda","Tara wants me to cook for her and I&quotecharm a terrific cook",NA,"control_good","control_good2","control","Yes",13
0,1104,"F","F","Helen","Frank got a cat","Carolyn","inform_Sam","12","C","No",14
0,1016,"M","M","Christopher","Sophia got a tattoo","Kevin","establish","5","NonProj","Yes",15
0,1072,"M","M","Thomas","Emily bought a car yesterday","Ryan","prove","8","C","No",16
0,1672,NA,"M","Robert","Zack believes that I&quotecharm married, but I&quotecharm actually single",NA,"control_good","control_good1","control","Yes",17
0,1224,"F","F","Donna","Jayden rented a car","Cynthia","suggest","14","C","No",18
0,1008,"M","F","Susan","Zoe calculated the tip","Larry","annoyed","10","NonProj","Yes",19
0,1168,"F","M","Kenneth","Charley speaks Spanish","Nicole","acknowledge","20","C","No",20
0,985,"F","F","Jennifer","Owen shoveled snow last winter","Amy","be_right_that","17","C","Yes",21
0,943,"F","F","Jessica","Julian dances salsa","Diane","see","18","NonProj","No",22
0,1032,"M","F","Sandra","Isabella ate a steak on Sunday","Justin","hear","7","C","Yes",23
0,991,"M","F","Elizabeth","Olivia sleeps until noon","Jacob","think","4","NonProj","No",24
0,888,"F","F","Linda","Jackson ran 10 miles","Rebecca","confirm","13","C","Yes",25
0,959,"F","M","Steven","Jon walks to work","Angela","admit","19","C","No",26
0,919,"M","F","Michelle","Emma studied on Saturday morning","Jeffrey","announce","3","C","Yes",27
0,5193,NA,"F","Elizabeth","Dana has never smoked in her life and she stopped smoking recently",NA,"control_bad","control_bad1","control","No",28
0,911,NA,"F","Donna","Hendrick&quotechars car is completely red and his car is not red",NA,"control_bad","control_bad2","control","Yes",29
0,938,"F","F","Dorothy","Josh learned to ride a bike yesterday","Janet","demonstrate","16","C","No",30
0,1037,NA,"M","Thomas","Madison laughed loudly and she didn&quotechart laugh",NA,"control_bad","control_bad3","control","Yes",31
0,4231,"M","M","Robert","Mary is pregnant","Timothy","pretend","1","NonProj","No",32
1,4310,NA,"M","Steven","Sebastian lives in the USA and has never been to the USA",NA,"control_bad","control_bad4","control","Yes",5
1,3273,NA,"M","Matthew","Frederick is both smarter and taller than I am",NA,"control_good","control_good3","control","No",6
1,4857,"F","F","Jessica","Josh learned to ride a bike yesterday","Stephanie","inform_Sam","16","C","No",7
1,3469,"M","F","Karen","Olivia sleeps until noon","Brian","hear","4","C","No",8
1,2906,NA,"F","Susan","Dana has never smoked in her life and she stopped smoking recently",NA,"control_bad","control_bad1","control","Yes",9
1,4124,"F","M","George","Jon walks to work","Nicole","confirm","19","C","No",10
1,4962,"M","F","Betty","Mary is pregnant","Larry","acknowledge","1","C","No",11
1,3894,"M","F","Sandra","Sophia got a tattoo","Jacob","reveal","5","NonProj","Yes",12
1,5464,"M","M","David","Isabella ate a steak on Sunday","Jerry","admit","7","C","No",13
1,4623,"M","M","James","Josie went on vacation to France","Nicholas","be_right_that","2","C","Yes",14
1,3290,"F","M","Richard","Frank got a cat","Kathleen","say","12","C","No",15
1,2743,NA,"F","Carol","Vanessa is really good at math, but I&quotecharm not",NA,"control_good","control_good4","control","No",16
1,2767,"F","M","Robert","Tony had a drink last night","Amanda","pretend","15","NonProj","No",17
1,4767,"F","M","Matthew","Julian dances salsa","Heather","think","18","NonProj","No",18
1,3950,"M","F","Sarah","Emma studied on Saturday morning","Andrew","demonstrate","3","C","Yes",19
1,3150,"M","F","Susan","Grace visited her sister","Timothy","announce","9","C","No",20
1,3755,"F","M","Paul","Owen shoveled snow last winter","Christina","suggest","17","C","No",21
1,3380,"M","F","Jennifer","Mia drank 2 cocktails last night","Edward","know","6","NonProj","Yes",22
1,3330,"F","M","Christopher","Danny ate the last cupcake","Sharon","confess","11","C","No",23
1,3085,"F","M","Kenneth","Jackson ran 10 miles","Catherine","discover","13","NonProj","Yes",24
1,4808,"M","M","Steven","Emily bought a car yesterday","Patrick","prove","8","C","Yes",25
1,2652,NA,"M","Christopher","Zack believes that I&quotecharm married, but I&quotecharm actually single",NA,"control_good","control_good1","control","No",26
1,4808,NA,"F","Helen","Hendrick&quotechars car is completely red and his car is not red",NA,"control_bad","control_bad2","control","Yes",27
1,2824,"F","F","Carol","Jayden rented a car","Janet","see","14","NonProj","No",28
1,3142,"F","F","Helen","Charley speaks Spanish","Joyce","establish","20","NonProj","Yes",29
1,3868,NA,"M","Paul","Tara wants me to cook for her and I&quotecharm a terrific cook",NA,"control_good","control_good2","control","No",30
1,3821,"M","M","Thomas","Zoe calculated the tip","Justin","annoyed","10","NonProj","No",31
1,3347,NA,"F","Jennifer","Madison laughed loudly and she didn&quotechart laugh",NA,"control_bad","control_bad3","control","Yes",32
2,38048,"F","F","Michelle","Danny ate the last cupcake","Brenda","confirm","11","C","No",5
2,8344,NA,"F","Margaret","Hendrick&quotechars car is completely red and his car is not red",NA,"control_bad","control_bad2","control","Yes",6
2,68090,"M","F","Dorothy","Emma studied on Saturday morning","Tyler","acknowledge","3","C","No",7
2,4280,NA,"F","Carol","Madison laughed loudly and she didn&quotechart laugh",NA,"control_bad","control_bad3","control","Yes",8
2,10070,"M","F","Sarah","Isabella ate a steak on Sunday","Ryan","announce","7","C","No",9
2,5223,"M","F","Elizabeth","Emily bought a car yesterday","Larry","see","8","NonProj","No",10
2,6783,"F","F","Karen","Owen shoveled snow last winter","Christina","demonstrate","17","C","No",11
2,5213,"M","F","Carol","Mary is pregnant","Gregory","say","1","C","No",12
2,12177,"F","F","Betty","Jon walks to work","Ruth","know","19","NonProj","Yes",13
2,6432,"F","M","Kenneth","Josh learned to ride a bike yesterday","Anna","admit","16","C","No",14
2,6026,NA,"F","Dorothy","Sebastian lives in the USA and has never been to the USA",NA,"control_bad","control_bad4","control","Yes",15
2,21846,"F","M","Thomas","Julian dances salsa","Laura","pretend","18","NonProj","No",16
2,5464,"M","F","Susan","Sophia got a tattoo","Scott","hear","5","C","No",17
2,19730,"M","M","Mark","Grace visited her sister","Justin","prove","9","C","No",18
2,4876,NA,"F","Karen","Zack believes that I&quotecharm married, but I&quotecharm actually single",NA,"control_good","control_good1","control","No",19
2,7830,"F","M","George","Tony had a drink last night","Shirley","be_right_that","15","C","Yes",20
2,8054,"M","M","James","Zoe calculated the tip","Kevin","suggest","10","C","No",21
2,10574,"F","M","Steven","Frank got a cat","Stephanie","discover","12","NonProj","Yes",22
2,6404,NA,"M","Richard","Frederick is both smarter and taller than I am",NA,"control_good","control_good3","control","No",23
2,6132,NA,"F","Betty","Vanessa is really good at math, but I&quotecharm not",NA,"control_good","control_good4","control","No",24
2,5884,"M","F","Margaret","Mia drank 2 cocktails last night","Ronald","annoyed","6","NonProj","No",25
2,5520,NA,"M","Robert","Tara wants me to cook for her and I&quotecharm a terrific cook",NA,"control_good","control_good2","control","No",26
2,11967,"M","M","Richard","Josie went on vacation to France","Benjamin","confess","2","C","No",27
2,4101,"M","F","Lisa","Olivia sleeps until noon","Nicholas","reveal","4","NonProj","No",28
2,8107,NA,"F","Michelle","Dana has never smoked in her life and she stopped smoking recently",NA,"control_bad","control_bad1","control","Yes",29
2,10593,"F","F","Kimberly","Charley speaks Spanish","Janet","think","20","NonProj","No",30
2,4435,"F","M","Robert","Jayden rented a car","Virginia","establish","14","NonProj","No",31
2,17958,"F","M","David","Jackson ran 10 miles","Julie","inform_Sam","13","C","No",32
3,8427,NA,"F","Karen","Hendrick&quotechars car is completely red and his car is not red",NA,"control_bad","control_bad2","control","Yes",5
3,19215,"M","M","Richard","Josie went on vacation to France","Edward","admit","2","C","No",6
3,19156,"M","F","Karen","Grace visited her sister","Jerry","acknowledge","9","C","No",7
3,4416,NA,"F","Michelle","Vanessa is really good at math, but I&quotecharm not",NA,"control_good","control_good4","control","No",8
3,5136,"F","F","Linda","Jayden rented a car","Anna","see","14","NonProj","Yes",9
3,10993,"F","F","Nancy","Josh learned to ride a bike yesterday","Christina","annoyed","16","NonProj","No",10
3,7258,"F","F","Elizabeth","Danny ate the last cupcake","Catherine","suggest","11","C","No",11
3,5619,NA,"M","Steven","Frederick is both smarter and taller than I am",NA,"control_good","control_good3","control","No",12
3,22286,"F","M","James","Jackson ran 10 miles","Julie","demonstrate","13","C","Yes",13
3,5582,NA,"F","Elizabeth","Madison laughed loudly and she didn&quotechart laugh",NA,"control_bad","control_bad3","control","Yes",14
3,7462,"M","M","Steven","Sophia got a tattoo","Eric","announce","5","C","No",15
3,11144,"F","M","William","Owen shoveled snow last winter","Sharon","confirm","17","C","No",16
3,6006,NA,"F","Susan","Sebastian lives in the USA and has never been to the USA",NA,"control_bad","control_bad4","control","Yes",17
3,18651,"F","F","Betty","Charley speaks Spanish","Amy","know","20","NonProj","No",18
3,11097,"M","F","Donna","Mia drank 2 cocktails last night","Gary","inform_Sam","6","C","No",19
3,11370,NA,"F","Linda","Tara wants me to cook for her and I&quotecharm a terrific cook",NA,"control_good","control_good2","control","No",20
3,6089,"F","M","Christopher","Frank got a cat","Melissa","hear","12","C","No",21
3,10947,"M","F","Michelle","Zoe calculated the tip","Timothy","establish","10","NonProj","Yes",22
3,15818,"F","M","Kenneth","Julian dances salsa","Stephanie","be_right_that","18","C","Yes",23
3,4399,"F","F","Sarah","Tony had a drink last night","Cynthia","pretend","15","NonProj","No",24
3,8475,"M","M","David","Emma studied on Saturday morning","Andrew","discover","3","NonProj","Yes",25
3,5972,NA,"M","Christopher","Dana has never smoked in her life and she stopped smoking recently",NA,"control_bad","control_bad1","control","Yes",26
3,5084,"M","M","Robert","Mary is pregnant","Patrick","prove","1","C","Yes",27
3,16318,"M","F","Sandra","Isabella ate a steak on Sunday","Brandon","reveal","7","NonProj","Yes",28
3,10975,"M","M","Paul","Emily bought a car yesterday","Alexander","confess","8","C","No",29
3,11792,"M","F","Susan","Olivia sleeps until noon","Gregory","say","4","C","No",30
3,8827,"F","F","Lisa","Jon walks to work","Rachel","think","19","NonProj","No",31
3,9777,NA,"M","Richard","Zack believes that I&quotecharm married, but I&quotecharm actually single",NA,"control_good","control_good1","control","No",32
4,3605,"F","M","David","Danny ate the last cupcake","Sharon","establish","11","NonProj","Yes",5
4,4531,NA,"F","Ashley","Frederick is both smarter and taller than I am",NA,"control_good","control_good3","control","No",6
4,5271,"M","F","Ashley","Emma studied on Saturday morning","Scott","be_right_that","3","C","Yes",7
4,5942,NA,"F","Jennifer","Madison laughed loudly and she didn&quotechart laugh",NA,"control_bad","control_bad3","control","Yes",8
4,5715,"M","M","Matthew","Mia drank 2 cocktails last night","Eric","hear","6","C","No",9
