"workerid","rt","content","subjectGender","speakerGender","question","speakerName","fact_type","subjectName","verb","utterance","contentNr","trigger_class","response","fact","slide_number_in_experiment"
0,15080,"Jackson ran 10 miles","F","M","13","Paul","factH","Catherine","acknowledge","Did Laura acknowledge that Jackson ran 10 miles?","13","C","Yes","Jackson is training for a marathon",2
0,8390,"Frank got a cat","F","F","12","Ashley","factL","Shirley","prove","Did Melissa prove that Frank got a cat?","12","C","No","Frank is allergic to cats",3
0,7847,"Tony had a drink last night","F","F","15","Linda","factL","Julie","see","Did Rebecca see that Tony had a drink last night?","15","NonProj","No","Tony has been sober for 20 years",4
0,19670,"Jayden rented a car","F","M","14","Thomas","factH","Melissa","suggest","Did Stephanie suggest that Jayden rented a car?","14","C","No","Jayden&quotechars car is in the shop",5
0,31181,"Julian dances salsa","F","F","18","Elizabeth","factL","Janet","pretend","Did Kathleen pretend that Julian dances salsa?","18","NonProj","No","Julian is German",6
0,10619,"Josie went on vacation to France","M","M","2","Kenneth","factH","Raymond","know","Does Scott know that Josie went on vacation to France?","2","NonProj","Yes","Josie loves France",7
0,6952,"Jon walks to work","F","F","19","Sarah","factH","Anna","admit","Did Ruth admit that Jon walks to work?","19","C","Yes","Jon lives 2 blocks away from work",8
0,9643,"Josh learned to ride a bike yesterday","F","F","16","Sandra","factL","Rachel","think","Does Sharon think that Josh learned to ride a bike yesterday?","16","NonProj","Yes","Josh is a 75-year old man",9
0,8490,"Vanessa is good at math",NA,"M","control4","James",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",10
0,7029,"Emma studied on Saturday morning","M","M","3","Matthew","factH","Brandon","discover","Did Justin discover that Emma studied on Saturday morning?","3","NonProj","Yes","Emma is in law school",11
0,14156,"Zoe calculated the tip","M","F","10","Michelle","factL","Kevin","confirm","Did Tim confirm that Zoe calculated the tip?","10","C","Yes","Zoe is 5 years old",12
0,5048,"Isabella ate a steak on Sunday","M","M","7","Robert","factH","Andrew","reveal","Did Kevin reveal that Isabella ate a steak on Sunday?","7","NonProj","Yes","Isabella is from Argentina",13
0,5082,"Zack is coming to the meeting tomorrow",NA,"F","control1","Ashley",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",14
0,7488,"Danny ate the last cupcake","F","F","11","Lisa","factH","Christina","hear","Did Amanda hear that Danny ate the last cupcake?","11","C","Yes","Danny loves cake",15
0,7670,"Mary is pregnant","M","F","1","Susan","factL","Ryan","confess","Did Patrick confess that Mary is pregnant?","1","C","Yes","Mary is a middle school student",16
0,6460,"Mary&quotechars aunt is sick",NA,"F","control2","Linda",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",17
0,6044,"Hendrick&quotechars car was expensive",NA,"F","control6","Michelle",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",18
0,5701,"Owen shoveled snow last winter","F","F","17","Kimberly","factL","Amy","be_right_that","Is Cynthia right that Owen shoveled snow last winter?","17","C","No","Owen lives in New Orleans",19
0,5991,"Emily bought a car yesterday","M","M","8","George","factH","Ronald","annoyed","Is Brian annoyed that Emily bought a car yesterday?","8","NonProj","Yes","Emily has been saving for a year",20
0,6074,"Mia drank 2 cocktails last night","M","F","6","Carol","factH","Justin","demonstrate","Did Ray demonstrate that Mia drank 2 cocktails last night?","6","C","No","Mia is a college student",21
0,5107,"Olivia sleeps until noon","M","M","4","William","factL","Patrick","inform_Sam","Did Jerry inform Sam that Olivia sleeps until noon?","4","C","Yes","Olivia has two small children",22
0,7479,"Grace visited her sister","M","F","9","Jessica","factL","Alexander","establish","Did Andrew establish that Grace visited her sister?","9","NonProj","No","Grace hates her sister",23
0,5866,"Charley speaks Spanish","F","M","20","James","factL","Diane","say","Did Anna say that Charley speaks Spanish?","20","C","No","Charley lives in Korea",24
0,11402,"Sophia got a tattoo","M","M","5","David","factH","Edward","announce","Did Ben announce that Sophia got a tattoo?","5","C","Yes","Sophia is a hipster",25
0,5533,"Todd played football in high school",NA,"F","control3","Kimberly",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",26
0,5549,"Madison had a baby",NA,"F","control5","Elizabeth",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",27
1,7911,"Mary is pregnant","M","F","1","Kimberly","factH","Jacob","see","Did Patrick see that Mary is pregnant?","1","NonProj","Yes","Mary is taking a prenatal yoga class",2
1,4897,"Charley speaks Spanish","F","F","20","Margaret","factL","Christina","prove","Did Anna prove that Charley speaks Spanish?","20","C","No","Charley lives in Korea",3
1,4811,"Sophia got a tattoo","M","F","5","Ashley","factL","Edward","discover","Did Ben discover that Sophia got a tattoo?","5","NonProj","Yes","Sophia is a high end fashion model",4
1,3960,"Josie went on vacation to France","M","M","2","David","factH","Gary","hear","Did Scott hear that Josie went on vacation to France?","2","C","Yes","Josie loves France",5
1,3379,"Julian dances salsa","F","M","18","Mark","factH","Carolyn","confess","Did Kathleen confess that Julian dances salsa?","18","C","Yes","Julian is Cuban",6
1,5860,"Isabella ate a steak on Sunday","M","F","7","Susan","factH","Ronald","demonstrate","Did Kevin demonstrate that Isabella ate a steak on Sunday?","7","C","Yes","Isabella is from Argentina",7
1,5088,"Owen shoveled snow last winter","F","M","17","Matthew","factL","Rachel","be_right_that","Is Cynthia right that Owen shoveled snow last winter?","17","C","No","Owen lives in New Orleans",8
1,9431,"Todd played football in high school",NA,"M","control3","Christopher",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",9
1,7896,"Zoe calculated the tip","M","F","10","Betty","factH","Jerry","think","Does Tim think that Zoe calculated the tip?","10","NonProj","No","Zoe is a math major",10
1,9310,"Tony had a drink last night","F","F","15","Jennifer","factL","Ruth","pretend","Did Rebecca pretend that Tony had a drink last night?","15","NonProj","No","Tony has been sober for 20 years",11
1,3164,"Mary&quotechars aunt is sick",NA,"F","control2","Ashley",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",12
1,4027,"Vanessa is good at math",NA,"M","control4","Thomas",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",13
1,4651,"Olivia sleeps until noon","M","M","4","Steven","factL","Benjamin","suggest","Did Jerry suggest that Olivia sleeps until noon?","4","C","No","Olivia has two small children",14
1,123233,"Emma studied on Saturday morning","M","M","3","James","factL","Tyler","admit","Did Justin admit that Emma studied on Saturday morning?","3","C","Yes","Emma is in first grade",15
1,3851,"Mia drank 2 cocktails last night","M","M","6","George","factL","Alexander","acknowledge","Did Ray acknowledge that Mia drank 2 cocktails last night?","6","C","Yes","Mia is a nun",16
1,23463,"Hendrick&quotechars car was expensive",NA,"F","control6","Margaret",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",17
1,6037,"Jayden rented a car","F","F","14","Sarah","factH","Melissa","say","Did Stephanie say that Jayden rented a car?","14","C","Yes","Jayden&quotechars car is in the shop",18
